,sig_A,fake_A,sig_B,fake_B
0,0.85163903,-0.8888576,-0.52412874,0.65488243
1,0.846355,-0.6358352,-0.5326191,0.6674135
2,0.84098643,-0.60857886,-0.5410562,0.66416264
3,0.8355337,-0.5779143,-0.54943925,0.66647756
4,0.82999736,-0.58010954,-0.5577673,0.67381775
5,0.8243781,-0.5831786,-0.56603956,0.6689774
6,0.81867635,-0.6606427,-0.5742552,0.66852105
7,0.81289274,-0.6105181,-0.58241343,0.6669198
8,0.8070278,-0.68867844,-0.5905134,0.69709647
9,0.8010822,-0.61832434,-0.5985544,0.68833566
10,0.79505646,-0.68986875,-0.60653543,0.6834012
11,0.7889512,-0.653348,-0.6144559,0.6935476
12,0.78276706,-0.67461145,-0.6223148,0.7099185
13,0.77650464,-0.6709979,-0.6301115,0.72161674
14,0.77016455,-0.7319753,-0.6378453,0.73324823
15,0.76374745,-0.7119107,-0.6455152,0.7353375
16,0.75725394,-0.70913315,-0.6531205,0.7264893
17,0.75068474,-0.6828137,-0.6606606,0.7276981
18,0.7440404,-0.72760963,-0.66813457,0.72166383
19,0.73732173,-0.71946836,-0.67554176,0.72855616
20,0.7305293,-0.73095477,-0.68288136,0.7397957
21,0.7236638,-0.73153156,-0.69015265,0.7274293
22,0.71672595,-0.7606928,-0.697355,0.728616
23,0.7097164,-0.7494373,-0.7044875,0.727561
24,0.7026359,-0.76699203,-0.7115496,0.7184957
25,0.6954851,-0.7605326,-0.71854055,0.7162303
26,0.6882647,-0.77793854,-0.7254596,0.70338047
27,0.68097556,-0.77779067,-0.7323061,0.7015326
28,0.6736183,-0.7884225,-0.7390794,0.70408857
29,0.66619366,-0.79416126,-0.7457788,0.68913376
30,0.6587024,-0.80240446,-0.7524036,0.68576145
31,0.6511452,-0.80030733,-0.75895315,0.67647326
32,0.643523,-0.81919897,-0.7654268,0.6683334
33,0.63583636,-0.81957626,-0.7718239,0.66131294
34,0.62808615,-0.8284979,-0.7781438,0.64803445
35,0.6202732,-0.8265528,-0.7843859,0.64348257
36,0.6123981,-0.8334212,-0.7905495,0.6445539
37,0.6044618,-0.8437855,-0.79663414,0.630978
38,0.59646505,-0.8456521,-0.80263907,0.6259743
39,0.58840865,-0.8447475,-0.8085637,0.61665595
40,0.5802934,-0.8603495,-0.81440747,0.60830224
41,0.57212013,-0.86321336,-0.8201698,0.5993227
42,0.5638897,-0.8723017,-0.8258501,0.5863619
43,0.5556028,-0.8663484,-0.8314479,0.58049667
44,0.54726034,-0.8746513,-0.83696246,0.5801246
45,0.5388631,-0.8853151,-0.84239334,0.5681168
46,0.5304121,-0.8846218,-0.84773993,0.56250286
47,0.521908,-0.88415563,-0.8530018,0.5534812
48,0.5133517,-0.89567745,-0.8581783,0.5453237
49,0.504744,-0.9022606,-0.8632691,0.53486574
50,0.49608588,-0.91089594,-0.86827344,0.521955
51,0.48737815,-0.90338314,-0.873191,0.5149311
52,0.4786217,-0.9122897,-0.87802124,0.5142925
53,0.46981734,-0.92173725,-0.8827636,0.5031862
54,0.46096602,-0.9174729,-0.8874178,0.49660382
55,0.4520686,-0.9165446,-0.89198315,0.48879382
56,0.44312596,-0.92697304,-0.89645934,0.47993323
57,0.434139,-0.9364141,-0.9008459,0.468026
58,0.42510864,-0.9440813,-0.90514237,0.4550682
59,0.41603574,-0.9333012,-0.90934825,0.44837096
60,0.40692127,-0.9440945,-0.91346323,0.44656256
61,0.39776608,-0.9535176,-0.91748685,0.43602958
62,0.3885711,-0.94908845,-0.9214187,0.42743286
63,0.37933728,-0.946599,-0.92525846,0.42103747
64,0.37006554,-0.95728797,-0.9290057,0.4110572
65,0.36075675,-0.96499497,-0.9326599,0.39873287
66,0.3514119,-0.971409,-0.93622094,0.38545695
67,0.34203193,-0.95985764,-0.9396883,0.38087997
68,0.33261773,-0.9708577,-0.94306177,0.37852398
69,0.32317027,-0.97936314,-0.94634086,0.36846837
70,0.31369048,-0.97388047,-0.9495253,0.35804442
