2023-06-16 20:20:42,293 INFO    StreamThr :14920 [internal.py:wandb_internal():86] W&B internal server running at pid: 14920, started at: 2023-06-16 20:20:42.292430
2023-06-16 20:20:42,293 DEBUG   HandlerThread:14920 [handler.py:handle_request():144] handle_request: status
2023-06-16 20:20:42,295 INFO    WriterThread:14920 [datastore.py:open_for_write():85] open: /home/johann/Desktop/GitHub repos/Master_thesis/wandb/run-20230616_202034-28n7z8fw/run-28n7z8fw.wandb
2023-06-16 20:20:42,295 DEBUG   SenderThread:14920 [sender.py:send():375] send: header
2023-06-16 20:20:42,295 DEBUG   SenderThread:14920 [sender.py:send():375] send: run
2023-06-16 20:20:42,904 INFO    SenderThread:14920 [dir_watcher.py:__init__():219] watching files in: /home/johann/Desktop/GitHub repos/Master_thesis/wandb/run-20230616_202034-28n7z8fw/files
2023-06-16 20:20:42,904 INFO    SenderThread:14920 [sender.py:_start_run_threads():1124] run started: 28n7z8fw with start time 1686939641.440188
2023-06-16 20:20:42,904 DEBUG   SenderThread:14920 [sender.py:send_request():402] send_request: summary_record
2023-06-16 20:20:42,904 INFO    SenderThread:14920 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 20:20:42,906 DEBUG   HandlerThread:14920 [handler.py:handle_request():144] handle_request: check_version
2023-06-16 20:20:42,906 DEBUG   SenderThread:14920 [sender.py:send_request():402] send_request: check_version
2023-06-16 20:20:43,017 DEBUG   HandlerThread:14920 [handler.py:handle_request():144] handle_request: run_start
2023-06-16 20:20:43,018 DEBUG   HandlerThread:14920 [system_info.py:__init__():31] System info init
2023-06-16 20:20:43,018 DEBUG   HandlerThread:14920 [system_info.py:__init__():46] System info init done
2023-06-16 20:20:43,019 INFO    HandlerThread:14920 [system_monitor.py:start():181] Starting system monitor
2023-06-16 20:20:43,019 INFO    SystemMonitor:14920 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-16 20:20:43,019 INFO    HandlerThread:14920 [system_monitor.py:probe():201] Collecting system info
2023-06-16 20:20:43,019 INFO    SystemMonitor:14920 [interfaces.py:start():190] Started cpu monitoring
2023-06-16 20:20:43,019 INFO    SystemMonitor:14920 [interfaces.py:start():190] Started disk monitoring
2023-06-16 20:20:43,020 INFO    SystemMonitor:14920 [interfaces.py:start():190] Started gpu monitoring
2023-06-16 20:20:43,020 INFO    SystemMonitor:14920 [interfaces.py:start():190] Started memory monitoring
2023-06-16 20:20:43,020 INFO    SystemMonitor:14920 [interfaces.py:start():190] Started network monitoring
2023-06-16 20:20:43,026 DEBUG   HandlerThread:14920 [system_info.py:probe():195] Probing system
2023-06-16 20:20:43,027 DEBUG   HandlerThread:14920 [system_info.py:_probe_git():180] Probing git
2023-06-16 20:20:43,037 DEBUG   HandlerThread:14920 [system_info.py:_probe_git():188] Probing git done
2023-06-16 20:20:43,037 DEBUG   HandlerThread:14920 [system_info.py:probe():240] Probing system done
